season,week,predicted_eliminated_rank,predicted_partner_rank,actual_eliminated,actual_count,correct_rank,exact_match_rank
1,2,Trista Sutter,Louis van Amstel,Trista Sutter,1,1.0,1
1,3,Evander Holyfield,Edyta Sliwinska,Evander Holyfield,1,1.0,1
1,4,Joey McIntyre,Ashly DelGrosso,Rachel Hunter,1,0.0,0
2,1,Kenny Mayne,Andrea Hale,Kenny Mayne,1,1.0,1
2,2,Tatum O'Neal,Nick Kosovich,Tatum O'Neal,1,1.0,1
2,3,Master P,Ashly DelGrosso,Giselle Fernandez,1,0.0,0
2,4,Master P,Ashly DelGrosso,Master P,1,1.0,1
2,5,Tia Carrere,Maksim Chmerkoskiy,Tia Carrere,1,1.0,1
2,6,George Hamilton,Edyta Sliwinska,George Hamilton,1,1.0,1
2,7,Lisa Rinna,Louis van Amstel,Lisa Rinna,1,1.0,1
28,2,"Mary Wilson, Lamar Odom","Brandon Armstrong, Peta Murgatroyd","Ray Lewis, Mary Wilson",2,0.5,0
28,4,Lamar Odom,Peta Murgatroyd,Lamar Odom,1,1.0,1
28,6,Hannah Brown,Alan Bersten,Sailor Brinkley-Cook,1,0.0,0
28,7,Karamo Brown,Jenna Johnson,Karamo Brown,1,1.0,1
28,8,Kate Flannery,Pasha Pashkov,Kate Flannery,1,1.0,1
28,9,Sean Spicer,Lindsay Arnold,Sean Spicer,1,1.0,1
28,10,James Van Der Beek,Emma Slater,James Van Der Beek,1,1.0,1
29,2,Charles Oakley,Emma Slater,Charles Oakley,1,1.0,1
29,3,Carole Baskin,Pasha Pashkov,Carole Baskin,1,1.0,1
29,4,Anne Heche,Keo Motsepe,Anne Heche,1,1.0,1
29,5,Jesse Metcalfe,Sharna Burgess,Jesse Metcalfe,1,1.0,1
29,6,Veron Davis,Peta Murgatroyd,Veron Davis,1,1.0,1
29,7,"Monica Aldama, Jeannie Mai","Valentin Chmerkovskiy, Brandon Armstrong","Monica Aldama, Jeannie Mai",2,1.0,1
29,8,Chrishell Stause,Gleb Savchenko,Chrishell Stause,1,1.0,1
29,9,AJ McLean,Cheryl Burke,AJ McLean,1,1.0,1
29,10,"Johnny Weir, Nelly","Britt Stewart, Daniella Karagach","Johnny Weir, Skai Jackson",2,0.5,0
30,2,Martin Kove,Britt Stewart,Martin Kove,1,1.0,1
30,3,Cody Rigsby,Cheryl Burke,Christine Chiu,1,0.0,0
30,4,"Brian Austin Green, Matt James","Sharna Burgess, Lindsay Arnold","Brian Austin Green, Matt James",2,1.0,1
30,5,Iman Shumpert,Daniella Karagach,Melanie C,1,0.0,0
30,6,Kenya Moore,Brandon Armstrong,Kenya Moore,1,1.0,1
30,7,"Mike ""The Miz"" Mizanin",Witney Carson,"Mike ""The Miz"" Mizanin",1,1.0,1
30,8,"Jimmie Allen, Olivia Jade","Emma Slater, Valentin Chmerkovskiy","Jimmie Allen, Olivia Jade",2,1.0,1
30,9,"Melora Hardin, Cody Rigsby","Artem Chigvintsev, Cheryl Burke","Melora Hardin, Suni Lee",2,0.5,0
31,1,Jason Lewis,Peta Murgatroyd,Jason Lewis,1,1.0,1
31,2,Teresa Giudice,Pasha Pashkov,Teresa Giudice,1,1.0,1
31,3,Cheryl Ladd,Louis van Amstel,Cheryl Ladd,1,1.0,1
31,4,Sam Champion,Cheryl Burke,Sam Champion,1,1.0,1
31,5,"Joseph Baena, Vinny Guadagnino","Daniella Karagach, Koko Iwasaki","Selma Blair, Joseph Baena",2,0.5,0
31,6,Jessie James Decker,Alan Bersten,Jessie James Decker,1,1.0,1
31,7,Jordin Sparks,Brandon Armstrong,Jordin Sparks,1,1.0,1
31,8,"Vinny Guadagnino, Heidi D'Amelio","Koko Iwasaki, Artem Chigvintsev","Vinny Guadagnino, Heidi D'Amelio",2,1.0,1
31,9,"Trevor Donovan, Daniel Durant","Emma Slater, Britt Stewart","Trevor Donovan, Daniel Durant",2,1.0,1
32,1,Matt Walsh,Koko Iwasaki,Matt Walsh,1,1.0,1
32,2,Mauricio Umansky,Emma Slater,Jamie Lynn Spears,1,0.0,0
32,3,Tyson Beckford,Jenna Johnson,Tyson Beckford,1,1.0,1
32,4,Barry Williams,Peta Murgatroyd,Adrian Peterson,1,0.0,0
32,5,Mira Sorvino,Gleb Savchenko,Mira Sorvino,1,1.0,1
32,6,Mauricio Umansky,Emma Slater,Mauricio Umansky,1,1.0,1
32,7,Barry Williams,Peta Murgatroyd,Lele Pons,1,0.0,0
32,8,Harry Jowsey,Rylee Arnold,Barry Williams,1,0.0,0
32,9,Harry Jowsey,Rylee Arnold,Harry Jowsey,1,1.0,1
33,2,"Anna Delvey, Eric Roberts","Ezra Sosa, Britt Stewart","Anna Delvey, Tori Spelling",2,0.5,0
33,3,"Reginald VelJohnson, Eric Roberts","Emma Slater, Britt Stewart","Reginald VelJohnson, Eric Roberts",2,1.0,1
33,4,Dwight Howard ,Daniella Karagach,Brooks Nader,1,0.0,0
33,5,Phaedra Parks,Val Chmerkovskiy,Phaedra Parks,1,1.0,1
33,6,Ilona Maher,Alan Bersten,Jenn Tran,1,0.0,0
33,7,Dwight Howard ,Daniella Karagach,Dwight Howard ,1,1.0,1
34,2,"Corey Feldman, Baron Davis","Jenna Johnson, Britt Stewart","Corey Feldman, Baron Davis",2,1.0,1
34,3,Lauren Jauregui,Brandon Armstrong,Lauren Jauregui,1,1.0,1
34,4,Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),Hilaria Baldwin,1,0.0,0
34,6,Scott Hoying,Rylee Arnold,Scott Hoying,1,1.0,1
34,7,Jen Affleck,Jan Ravnik,Jen Affleck,1,1.0,1
34,8,Danielle Fishel,Pasha Pashkov,Danielle Fishel,1,1.0,1
34,9,Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),Andy Richter,1,1.0,1
34,10,Dylan Efron,Daniella Karagach (Rumer Willis week 9),Whitney Leavitt,1,0.0,0
