season,week,predicted_eliminated_percent,predicted_partner_percent,actual_eliminated,actual_count,correct_percent,exact_match_percent
3,1,Tucker Carlson,Elena Grinenko,Tucker Carlson,1,1.0,1
3,2,Shanna Moakler,Jesse DeSoto,Shanna Moakler,1,1.0,1
3,3,Harry Hamlin,Ashly DelGrosso,Harry Hamlin,1,1.0,1
3,4,Vivica A. Fox,Nick Kosovich,Vivica A. Fox,1,1.0,1
3,5,"Sara Evans, Jerry Springer","Tony Dovolani, Kym Johnson","Willa Ford, Sara Evans",2,0.5,0
3,7,Jerry Springer,Kym Johnson,Jerry Springer,1,1.0,1
3,8,Monique Coleman,Louis van Amstel,Monique Coleman,1,1.0,1
4,2,Paulina Porizkova,Alec Mazo,Paulina Porizkova,1,1.0,1
4,3,Shandi Finnessey,Brian Fortuna,Shandi Finnessey,1,1.0,1
4,4,Leeza Gibbons,Tony Dovolani,Leeza Gibbons,1,1.0,1
4,5,Clyde Drexler,Elena Grinenko,Clyde Drexler,1,1.0,1
4,6,John Ratzenberger,Edyta Sliwinska,Heather Mills,1,0.0,0
4,7,John Ratzenberger,Edyta Sliwinska,John Ratzenberger,1,1.0,1
4,8,Billy Ray Cyrus,Karina Smirnoff,Billy Ray Cyrus,1,1.0,1
4,9,Ian Ziering,Cheryl Burke,Ian Ziering,1,1.0,1
5,1,Josie Maran,Alec Mazo,Josie Maran,1,1.0,1
5,2,Wayne Newton,Cheryl Burke,Albert Reed,1,0.0,0
5,3,Wayne Newton,Cheryl Burke,Wayne Newton,1,1.0,1
5,4,Floyd Mayweather Jr. ,Karina Smirnoff,Floyd Mayweather Jr. ,1,1.0,1
5,5,Mark Cuban,Kym Johnson,Mark Cuban,1,1.0,1
5,6,Jane Seymour,Tony Dovolani,Sabrina Bryan,1,0.0,0
5,7,Jane Seymour,Tony Dovolani,Jane Seymour,1,1.0,1
5,8,Cameron Mathison,Edyta Sliwinska,Cameron Mathison,1,1.0,1
5,9,Jennie Garth,Derek Hough,Jennie Garth,1,1.0,1
6,2,"Monica Seles, Penn Jillette","Jonathan Roberts, Kym Johnson","Monica Seles, Penn Jillette",2,1.0,1
6,3,Steve Guttenberg,Anna Trebunskaya,Steve Guttenberg,1,1.0,1
6,4,Adam Carolla,Julianne Hough,Adam Carolla,1,1.0,1
6,5,Priscilla Presley,Louis van Amstel,Priscilla Presley,1,1.0,1
6,6,Marlee Matlin,Fabian Sanchez,Marlee Matlin,1,1.0,1
6,7,Shannon Elizabeth,Derek Hough,Shannon Elizabeth,1,1.0,1
6,8,Mario,Karina Smirnoff,Mario,1,1.0,1
6,9,Marissa Jaret Winokur,Tony Dovolani,Marissa Jaret Winokur,1,1.0,1
7,1,"Jeffrey Ross, Ted McGinley","Edyta Sliwinska, Inna Brayer","Ted McGinley, Jeffrey Ross",2,1.0,1
7,2,"Kim Kardashian, Cloris Leachman","Mark Ballas, Corky Ballas","Kim Kardashian, Misty May-Treanor",2,0.5,0
7,4,Rocco DiSpirito,Karina Smirnoff,Rocco DiSpirito,1,1.0,1
7,5,Toni Braxton,Alec Mazo,Toni Braxton,1,1.0,1
7,6,Cloris Leachman,Corky Ballas,Cloris Leachman,1,1.0,1
7,7,Susan Lucci,Tony Dovolani,Susan Lucci,1,1.0,1
7,8,Maurice Greene,Cheryl Burke,Maurice Greene,1,1.0,1
7,9,Cody Linley,Julianne Hough,Cody Linley,1,1.0,1
8,2,Belinda Carlisle,Jonathan Roberts,Belinda Carlisle,1,1.0,1
8,3,Denise Richards,Maksim Chmerkoskiy,Denise Richards,1,1.0,1
8,4,"Steve Wozniak, Holly Madison","Karina Smirnoff, Dmitry Chaplin","Steve Wozniak, Holly Madison",2,1.0,1
8,5,David Alan Grier,Kym Johnson,David Alan Grier,1,1.0,1
8,6,Steve-O,Lacey Schwimmer,Steve-O,1,1.0,1
8,7,Lawrence Taylor,Edyta Sliwinska,Lawrence Taylor,1,1.0,1
8,8,Chuck Wicks,Julianne Hough,Chuck Wicks,1,1.0,1
8,9,Lil' Kim,Derek Hough,Lil' Kim,1,1.0,1
8,10,Ty Murray,Chelsie Hightower,Ty Murray,1,1.0,1
9,1,"Macy Gray, Ashley Hamiliton","Jonathan Roberts, Edyta Sliwinska","Macy Gray, Ashley Hamiliton",2,1.0,1
9,2,Kathy Ireland,Tony Dovolani,Kathy Ireland,1,1.0,1
9,3,"Tom DeLay, Michael Irvin","Cheryl Burke, Anna Demidova","Debi Mazar, Tom DeLay",2,0.5,0
9,4,Chuck Liddell,Anna Trebunskaya,Chuck Liddell,1,1.0,1
9,5,Natalie Coughlin,Alec Mazo,Natalie Coughlin,1,1.0,1
9,6,"Louie Vito, Melissa Joan Hart","Chelsie Hightower, Mark Ballas","Louie Vito, Melissa Joan Hart",2,1.0,1
9,7,"Mark Dacascos, Michael Irvin","Lacey Schwimmer, Anna Demidova","Michael Irvin, Mark Dacascos",2,1.0,1
9,8,Aaron Carter,Karina Smirnoff,Aaron Carter,1,1.0,1
9,9,Joanna Krupa,Derek Hough,Joanna Krupa,1,1.0,1
10,2,Shannen Doherty,Mark Ballas,Shannen Doherty,1,1.0,1
