season,week,celebrity_name,ballroom_partner,partner_total_seasons,partner_avg_placement,partner_final_rate,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,age_group,results,placement,week_total_judge,season_total_weeks,weekly_contestant_count,weekly_sum_judge,weekly_mean_judge,weekly_std_judge,judge_pct,judge_share,judge_zscore,rank_pct,popularity_deviation,judge_rank_interaction,judge_popularity_interaction,rank_popularity_interaction,cumulative_weeks,relative_cumulative_weeks,week_total_judge_change,week_total_judge_trend,survival_advantage,weekly_judge_rank,weekly_judge_rank_pct,weekly_judge_share_rank,weekly_judge_share_rank_pct,composite_attractiveness
1,1,Evander Holyfield,Edyta Sliwinska,11,7.545454545454546,0.1818181818181818,Athlete,Alabama,United States,42,35-44,Eliminated Week 3,5,18.0,6,6,109.0,18.166666666666668,2.714160398109638,0.9,0.1651376146788991,-0.0614063438486347,0.5,-0.4,0.45,-0.36,-0.2,1,0.1666666666666666,0.0,18.0,0.0,4,0.6666666666666666,4,0.6666666666666666,0.36336973570994197
1,2,Evander Holyfield,Edyta Sliwinska,11,7.545454545454546,0.1818181818181818,Athlete,Alabama,United States,42,35-44,Eliminated Week 3,5,14.0,6,6,121.0,20.166666666666668,4.445971959725642,0.5384615384615384,0.1157024793388429,-1.3870232926631432,0.1666666666666666,-0.3717948717948718,0.0897435897435897,-0.2001972386587771,-0.0619658119658119,2,0.3333333333333333,-4.0,16.0,0.0,6,1.0,6,1.0,0.32549910416457556
1,3,Evander Holyfield,Edyta Sliwinska,11,7.545454545454546,0.1818181818181818,Athlete,Alabama,United States,42,35-44,Eliminated Week 3,5,13.0,6,5,106.0,21.2,4.969909455915671,0.5,0.1226415094339622,-1.649929455000344,0.1999999999999999,-0.3,0.0999999999999999,-0.15,-0.06,3,0.5,-1.0,13.5,0.0,5,1.0,5,1.0,0.35760668133464013
1,1,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,20.0,6,6,109.0,18.166666666666668,2.714160398109638,1.0,0.1834862385321101,0.6754697823349772,1.0,0.0,1.0,0.0,0.0,1,0.1666666666666666,0.0,20.0,0.0,1,0.1666666666666666,1,0.1666666666666666,0.6382371729744244
1,2,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,21.0,6,6,121.0,20.166666666666668,4.445971959725642,0.8076923076923077,0.1735537190082644,0.1874355800896136,0.6666666666666667,-0.1410256410256409,0.5384615384615385,-0.1139053254437869,-0.0940170940170939,2,0.3333333333333333,1.0,20.5,0.0,3,0.5,3,0.5,0.5507210981119893
1,3,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,22.0,6,5,106.0,21.2,4.969909455915671,0.8461538461538461,0.2075471698113207,0.1609687273171069,0.6,-0.2461538461538461,0.5076923076923077,-0.208284023668639,-0.1476923076923077,3,0.5,1.0,21.5,0.0,3,0.6,3,0.6,0.5493018007461672
1,4,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,20.0,6,4,92.0,23.0,2.943920288775949,0.7692307692307693,0.217391304347826,-1.0190493307301365,0.25,-0.5192307692307693,0.1923076923076923,-0.3994082840236687,-0.1298076923076923,4,0.6666666666666666,-2.0,21.0,0.0,4,1.0,4,1.0,0.42600086033774387
1,5,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,22.5,6,3,73.0,24.33333333333333,2.362907813126304,0.8333333333333334,0.3082191780821918,-0.7758801774444577,0.3333333333333333,-0.5,0.2777777777777778,-0.4166666666666667,-0.1666666666666666,5,0.8333333333333334,2.5,21.25,0.0,3,1.0,3,1.0,0.47671867884416336
1,6,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,0.0,6,3,54.5,18.166666666666668,15.73478100684383,0.0,0.0,-1.1545547827303786,0.3333333333333333,0.3333333333333333,0.0,0.0,0.1111111111111111,6,1.0,-22.5,11.25,0.0,3,1.0,3,1.0,0.5805561752644813
1,1,John O'Hurley,Charlotte Jorgensen,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,20.0,6,6,109.0,18.166666666666668,2.714160398109638,1.0,0.1834862385321101,0.6754697823349772,1.0,0.0,1.0,0.0,0.0,1,0.1666666666666666,0.0,20.0,0.0,1,0.1666666666666666,1,0.1666666666666666,0.798470923434074
