season,celebrity_name,actual_placement,predicted_placement,placement_diff,actual_elim_week,predicted_elim_week
1,John O'Hurley,2,1,-1,,5
1,Kelly Monaco,1,1,0,,5
1,Joey McIntyre,3,2,-1,,4
1,Rachel Hunter,4,2,-2,4.0,4
1,Evander Holyfield,5,3,-2,3.0,2
1,Trista Sutter,6,3,-3,2.0,2
2,Drew Lachey,1,1,0,,8
2,Stacy Keibler,3,1,-2,,8
2,Lisa Rinna,4,2,-2,7.0,7
2,George Hamilton,5,3,-2,6.0,6
2,Tia Carrere,6,4,-2,5.0,5
2,Giselle Fernandez,8,5,-3,3.0,3
2,Jerry Rice,2,5,3,,3
2,Tatum O'Neal,9,6,-3,2.0,2
2,Kenny Mayne,10,7,-3,1.0,1
2,Master P,7,7,0,4.0,1
3,Emmitt Smith,1,1,0,,9
3,Joey Lawrence,3,1,-2,,9
3,Mario Lopez,2,1,-1,,9
3,Monique Coleman,4,2,-2,8.0,8
3,Jerry Springer,5,3,-2,7.0,5
3,Willa Ford,7,3,-4,5.0,5
3,Sara Evans,6,4,-2,5.0,4
3,Vivica A. Fox,8,4,-4,4.0,4
3,Harry Hamlin,9,5,-4,3.0,3
3,Shanna Moakler,10,6,-4,2.0,2
3,Tucker Carlson,11,7,-4,1.0,1
4,Apolo Anton Ohno,1,1,0,,10
4,Joey Fatone,2,1,-1,,10
4,Laila Ali,3,1,-2,,10
4,Ian Ziering,4,2,-2,9.0,9
4,Billy Ray Cyrus,5,3,-2,8.0,8
4,Heather Mills,7,4,-3,6.0,6
4,John Ratzenberger,6,4,-2,7.0,6
4,Clyde Drexler,8,5,-3,5.0,5
4,Leeza Gibbons,9,6,-3,4.0,4
4,Shandi Finnessey,10,7,-3,3.0,3
4,Paulina Porizkova,11,8,-3,2.0,2
5,Helio Castroneves,1,1,0,,10
5,Marie Osmond,3,1,-2,,10
5,Mel B,2,1,-1,,10
5,Jennie Garth,4,2,-2,9.0,9
5,Cameron Mathison,5,3,-2,8.0,8
5,Jane Seymour,6,4,-2,7.0,7
5,Sabrina Bryan,7,5,-2,6.0,6
5,Mark Cuban,8,6,-2,5.0,5
5,Floyd Mayweather Jr. ,9,7,-2,4.0,4
5,Wayne Newton,10,8,-2,3.0,3
5,Albert Reed,11,9,-2,2.0,2
5,Josie Maran,12,10,-2,1.0,1
6,Cristian de la Fuente,3,1,-2,,10
6,Jason Taylor,2,1,-1,,10
6,Kristi Yamaguchi,1,1,0,,10
6,Marissa Jaret Winokur,4,2,-2,9.0,9
6,Mario,5,3,-2,8.0,8
6,Shannon Elizabeth,6,4,-2,7.0,7
6,Marlee Matlin,7,5,-2,6.0,6
6,Priscilla Presley,8,6,-2,5.0,5
6,Adam Carolla,9,7,-2,4.0,4
6,Steve Guttenberg,10,8,-2,3.0,3
6,Monica Seles,11,9,-2,2.0,2
6,Penn Jillette,12,9,-3,2.0,2
7,Brooke Burke,1,1,0,,10
7,Lance Bass,3,1,-2,,10
7,Cody Linley,4,2,-2,9.0,9
7,Maurice Greene,5,3,-2,8.0,8
7,Susan Lucci,6,4,-2,7.0,7
7,Warren Sapp,2,4,2,,7
7,Toni Braxton,8,5,-3,5.0,5
7,Rocco DiSpirito,9,6,-3,4.0,4
7,Cloris Leachman,7,7,0,6.0,2
7,Kim Kardashian,11,7,-4,2.0,2
7,Misty May-Treanor,10,7,-3,2.0,2
7,Jeffrey Ross,13,8,-5,1.0,1
7,Ted McGinley,12,8,-4,1.0,1
8,Gilles Marini,2,1,-1,,11
8,Melissa Rycroft,3,1,-2,,11
8,Shawn Johnson,1,1,0,,11
8,Ty Murray,4,2,-2,10.0,10
8,Lil' Kim,5,3,-2,9.0,9
8,Chuck Wicks,6,4,-2,8.0,8
