season,week,actual_eliminated,actual_count,predicted_eliminated,correct_rate,exact_match,judge_weight,fan_weight,week_reliability,cum_reliability
1,2,Trista Sutter,1,Evander Holyfield,0.0,0,0.5454816671291636,0.45451833287083643,0.4695462937268691,0.4695462937268691
1,4,Rachel Hunter,1,Joey McIntyre,0.0,0,0.6453419763401284,0.35465802365987165,0.5228542320480566,0.4962002628874629
2,1,Kenny Mayne,1,Master P,0.0,0,0.5492294588490461,0.45077054115095394,0.44872522861641095,0.44872522861641095
2,2,Tatum O'Neal,1,Tatum O'Neal,1.0,1,0.5726317804085381,0.4273682195914619,0.5171590994210578,0.48294216401873435
2,3,Giselle Fernandez,1,Jerry Rice,0.0,0,0.5975991435593502,0.4024008564406498,0.5901356555776922,0.5186733278717203
2,5,Tia Carrere,1,Tia Carrere,1.0,1,0.6584216698382763,0.3415783301617237,0.525819358103847,0.5204598354297519
2,6,George Hamilton,1,George Hamilton,1.0,1,0.6848185346696738,0.3151814653303262,0.9219142320627062,0.6007507147563428
2,7,Lisa Rinna,1,Lisa Rinna,1.0,1,0.7162757342186393,0.2837242657813607,0.8652417752024407,0.6448325581640257
3,1,Tucker Carlson,1,Tucker Carlson,1.0,1,0.5289615799943317,0.4710384200056683,0.5613245555870459,0.5613245555870459
3,2,Shanna Moakler,1,Shanna Moakler,1.0,1,0.5717007641449836,0.4282992358550164,0.3340825592673251,0.4477035574271855
3,3,Harry Hamlin,1,Harry Hamlin,1.0,1,0.6022979447338661,0.3977020552661339,0.26963692656278354,0.3883480138057182
3,4,Vivica A. Fox,1,Sara Evans,0.0,0,0.622955993277674,0.37704400672232596,0.40308951599370946,0.39203338935271603
3,5,Willa Ford,1,Jerry Springer,0.0,0,0.6480794549652084,0.35192054503479164,0.19456036099538096,0.352538783681249
3,8,Monique Coleman,1,Monique Coleman,1.0,1,0.7095122019096444,0.29048779809035563,0.3104757951471053,0.3455282855922251
4,2,Paulina Porizkova,1,Paulina Porizkova,1.0,1,0.55790385576733,0.44209614423266996,0.4005341346259444,0.4005341346259444
