season,week,actual_eliminated,actual_count,predicted_eliminated_rank,predicted_partner_rank,correct_rank,exact_match_rank,predicted_eliminated_percent,predicted_partner_percent,correct_percent,exact_match_percent
1,2,Trista Sutter,1,Trista Sutter,Louis van Amstel,1.0,1,Evander Holyfield,Edyta Sliwinska,0.0,0
1,3,Evander Holyfield,1,Evander Holyfield,Edyta Sliwinska,1.0,1,Evander Holyfield,Edyta Sliwinska,1.0,1
1,4,Rachel Hunter,1,Joey McIntyre,Ashly DelGrosso,0.0,0,Joey McIntyre,Ashly DelGrosso,0.0,0
2,1,Kenny Mayne,1,Kenny Mayne,Andrea Hale,1.0,1,George Hamilton,Edyta Sliwinska,0.0,0
2,2,Tatum O'Neal,1,Tatum O'Neal,Nick Kosovich,1.0,1,Tatum O'Neal,Nick Kosovich,1.0,1
2,3,Giselle Fernandez,1,Master P,Ashly DelGrosso,0.0,0,Master P,Ashly DelGrosso,0.0,0
2,4,Master P,1,Master P,Ashly DelGrosso,1.0,1,Master P,Ashly DelGrosso,1.0,1
2,5,Tia Carrere,1,Tia Carrere,Maksim Chmerkoskiy,1.0,1,Jerry Rice,Anna Trebunskaya,0.0,0
2,6,George Hamilton,1,George Hamilton,Edyta Sliwinska,1.0,1,George Hamilton,Edyta Sliwinska,1.0,1
2,7,Lisa Rinna,1,Lisa Rinna,Louis van Amstel,1.0,1,Jerry Rice,Anna Trebunskaya,0.0,0
3,1,Tucker Carlson,1,Tucker Carlson,Elena Grinenko,1.0,1,Tucker Carlson,Elena Grinenko,1.0,1
3,2,Shanna Moakler,1,Jerry Springer,Kym Johnson,0.0,0,Shanna Moakler,Jesse DeSoto,1.0,1
3,3,Harry Hamlin,1,Emmitt Smith,Cheryl Burke,0.0,0,Harry Hamlin,Ashly DelGrosso,1.0,1
3,4,Vivica A. Fox,1,Sara Evans,Tony Dovolani,0.0,0,Vivica A. Fox,Nick Kosovich,1.0,1
3,5,"Willa Ford, Sara Evans",2,"Sara Evans, Joey Lawrence","Tony Dovolani, Edyta Sliwinska",0.5,0,"Sara Evans, Jerry Springer","Tony Dovolani, Kym Johnson",0.5,0
3,7,Jerry Springer,1,Jerry Springer,Kym Johnson,1.0,1,Jerry Springer,Kym Johnson,1.0,1
3,8,Monique Coleman,1,Monique Coleman,Louis van Amstel,1.0,1,Monique Coleman,Louis van Amstel,1.0,1
4,2,Paulina Porizkova,1,Clyde Drexler,Elena Grinenko,0.0,0,Paulina Porizkova,Alec Mazo,1.0,1
4,3,Shandi Finnessey,1,Clyde Drexler,Elena Grinenko,0.0,0,Shandi Finnessey,Brian Fortuna,1.0,1
4,4,Leeza Gibbons,1,Clyde Drexler,Elena Grinenko,0.0,0,Leeza Gibbons,Tony Dovolani,1.0,1
4,5,Clyde Drexler,1,Clyde Drexler,Elena Grinenko,1.0,1,Clyde Drexler,Elena Grinenko,1.0,1
4,6,Heather Mills,1,John Ratzenberger,Edyta Sliwinska,0.0,0,John Ratzenberger,Edyta Sliwinska,0.0,0
4,7,John Ratzenberger,1,Billy Ray Cyrus,Karina Smirnoff,0.0,0,John Ratzenberger,Edyta Sliwinska,1.0,1
4,8,Billy Ray Cyrus,1,Billy Ray Cyrus,Karina Smirnoff,1.0,1,Billy Ray Cyrus,Karina Smirnoff,1.0,1
4,9,Ian Ziering,1,Ian Ziering,Cheryl Burke,1.0,1,Ian Ziering,Cheryl Burke,1.0,1
5,1,Josie Maran,1,Josie Maran,Alec Mazo,1.0,1,Josie Maran,Alec Mazo,1.0,1
5,2,Albert Reed,1,Wayne Newton,Cheryl Burke,0.0,0,Wayne Newton,Cheryl Burke,0.0,0
5,3,Wayne Newton,1,Wayne Newton,Cheryl Burke,1.0,1,Wayne Newton,Cheryl Burke,1.0,1
5,4,Floyd Mayweather Jr. ,1,Mark Cuban,Kym Johnson,0.0,0,Floyd Mayweather Jr. ,Karina Smirnoff,1.0,1
5,5,Mark Cuban,1,Marie Osmond,Jonathan Roberts,0.0,0,Mark Cuban,Kym Johnson,1.0,1
5,6,Sabrina Bryan,1,Jane Seymour,Tony Dovolani,0.0,0,Jane Seymour,Tony Dovolani,0.0,0
5,7,Jane Seymour,1,Jane Seymour,Tony Dovolani,1.0,1,Jane Seymour,Tony Dovolani,1.0,1
5,8,Cameron Mathison,1,Marie Osmond,Jonathan Roberts,0.0,0,Cameron Mathison,Edyta Sliwinska,1.0,1
5,9,Jennie Garth,1,Marie Osmond,Jonathan Roberts,0.0,0,Jennie Garth,Derek Hough,1.0,1
6,2,"Penn Jillette, Monica Seles",2,"Steve Guttenberg, Monica Seles","Anna Trebunskaya, Jonathan Roberts",0.5,0,"Monica Seles, Penn Jillette","Jonathan Roberts, Kym Johnson",1.0,1
6,3,Steve Guttenberg,1,Marissa Jaret Winokur,Tony Dovolani,0.0,0,Steve Guttenberg,Anna Trebunskaya,1.0,1
6,4,Adam Carolla,1,Priscilla Presley,Louis van Amstel,0.0,0,Adam Carolla,Julianne Hough,1.0,1
6,5,Priscilla Presley,1,Marlee Matlin,Fabian Sanchez,0.0,0,Priscilla Presley,Louis van Amstel,1.0,1
6,6,Marlee Matlin,1,Marlee Matlin,Fabian Sanchez,1.0,1,Marlee Matlin,Fabian Sanchez,1.0,1
6,7,Shannon Elizabeth,1,Cristian de la Fuente,Cheryl Burke,0.0,0,Shannon Elizabeth,Derek Hough,1.0,1
6,8,Mario,1,Marissa Jaret Winokur,Tony Dovolani,0.0,0,Mario,Karina Smirnoff,1.0,1
6,9,Marissa Jaret Winokur,1,Marissa Jaret Winokur,Tony Dovolani,1.0,1,Marissa Jaret Winokur,Tony Dovolani,1.0,1
7,1,"Ted McGinley, Jeffrey Ross",2,"Cloris Leachman, Jeffrey Ross","Corky Ballas, Edyta Sliwinska",0.5,0,"Jeffrey Ross, Ted McGinley","Edyta Sliwinska, Inna Brayer",1.0,1
7,2,"Misty May-Treanor, Kim Kardashian",2,"Cloris Leachman, Rocco DiSpirito","Corky Ballas, Karina Smirnoff",0.0,0,"Kim Kardashian, Cloris Leachman","Mark Ballas, Corky Ballas",0.5,0
7,4,Rocco DiSpirito,1,Rocco DiSpirito,Karina Smirnoff,1.0,1,Rocco DiSpirito,Karina Smirnoff,1.0,1
7,5,Toni Braxton,1,Lance Bass,Lacey Schwimmer,0.0,0,Toni Braxton,Alec Mazo,1.0,1
7,6,Cloris Leachman,1,Cloris Leachman,Corky Ballas,1.0,1,Cloris Leachman,Corky Ballas,1.0,1
7,7,Susan Lucci,1,Warren Sapp,Kym Johnson,0.0,0,Susan Lucci,Tony Dovolani,1.0,1
7,8,Maurice Greene,1,Maurice Greene,Cheryl Burke,1.0,1,Maurice Greene,Cheryl Burke,1.0,1
7,9,Cody Linley,1,Cody Linley,Julianne Hough,1.0,1,Cody Linley,Julianne Hough,1.0,1
8,2,Belinda Carlisle,1,Steve-O,Lacey Schwimmer,0.0,0,Belinda Carlisle,Jonathan Roberts,1.0,1
8,3,Denise Richards,1,Steve Wozniak,Karina Smirnoff,0.0,0,Denise Richards,Maksim Chmerkoskiy,1.0,1
8,4,"Holly Madison, Steve Wozniak",2,"Steve Wozniak, Steve-O","Karina Smirnoff, Lacey Schwimmer",0.5,0,"Steve Wozniak, Holly Madison","Karina Smirnoff, Dmitry Chaplin",1.0,1
8,5,David Alan Grier,1,Lawrence Taylor,Edyta Sliwinska,0.0,0,David Alan Grier,Kym Johnson,1.0,1
8,6,Steve-O,1,Steve-O,Lacey Schwimmer,1.0,1,Steve-O,Lacey Schwimmer,1.0,1
8,7,Lawrence Taylor,1,Lawrence Taylor,Edyta Sliwinska,1.0,1,Lawrence Taylor,Edyta Sliwinska,1.0,1
8,8,Chuck Wicks,1,Melissa Rycroft,Tony Dovolani,0.0,0,Chuck Wicks,Julianne Hough,1.0,1
8,9,Lil' Kim,1,Ty Murray,Chelsie Hightower,0.0,0,Lil' Kim,Derek Hough,1.0,1
8,10,Ty Murray,1,Ty Murray,Chelsie Hightower,1.0,1,Ty Murray,Chelsie Hightower,1.0,1
9,1,"Macy Gray, Ashley Hamiliton",2,"Ashley Hamiliton, Tom DeLay","Edyta Sliwinska, Cheryl Burke",0.5,0,"Macy Gray, Ashley Hamiliton","Jonathan Roberts, Edyta Sliwinska",1.0,1
9,2,Kathy Ireland,1,Tom DeLay,Cheryl Burke,0.0,0,Kathy Ireland,Tony Dovolani,1.0,1
9,3,"Debi Mazar, Tom DeLay",2,"Tom DeLay, Michael Irvin","Cheryl Burke, Anna Demidova",0.5,0,"Tom DeLay, Michael Irvin","Cheryl Burke, Anna Demidova",0.5,0
9,4,Chuck Liddell,1,Michael Irvin,Anna Demidova,0.0,0,Chuck Liddell,Anna Trebunskaya,1.0,1
9,5,Natalie Coughlin,1,Michael Irvin,Anna Demidova,0.0,0,Natalie Coughlin,Alec Mazo,1.0,1
9,6,"Louie Vito, Melissa Joan Hart",2,"Michael Irvin, Melissa Joan Hart","Anna Demidova, Mark Ballas",0.5,0,"Louie Vito, Melissa Joan Hart","Chelsie Hightower, Mark Ballas",1.0,1
9,7,"Mark Dacascos, Michael Irvin",2,"Mark Dacascos, Michael Irvin","Lacey Schwimmer, Anna Demidova",1.0,1,"Mark Dacascos, Michael Irvin","Lacey Schwimmer, Anna Demidova",1.0,1
9,8,Aaron Carter,1,Aaron Carter,Karina Smirnoff,1.0,1,Aaron Carter,Karina Smirnoff,1.0,1
9,9,Joanna Krupa,1,Donny Osmond,Kym Johnson,0.0,0,Joanna Krupa,Derek Hough,1.0,1
10,2,Shannen Doherty,1,Kate Gosselin,Tony Dovolani,0.0,0,Shannen Doherty,Mark Ballas,1.0,1
10,3,Buzz Aldrin,1,Buzz Aldrin,Ashly DelGrosso,1.0,1,Buzz Aldrin,Ashly DelGrosso,1.0,1
10,4,Aiden Turner,1,Kate Gosselin,Tony Dovolani,0.0,0,Aiden Turner,Edyta Sliwinska,1.0,1
10,5,Kate Gosselin,1,Kate Gosselin,Tony Dovolani,1.0,1,Kate Gosselin,Tony Dovolani,1.0,1
10,6,Jake Pavelka,1,Jake Pavelka,Chelsie Hightower,1.0,1,Jake Pavelka,Chelsie Hightower,1.0,1
