season,week,celebrity_name,ballroom_partner,results,elimination_week,week_total_judge,composite_attractiveness,judge_rank,fan_rank,rank_sum,predicted_eliminated_rank,is_eliminated_this_week,judge_percent,fan_percent,combined_percent,predicted_eliminated_percent
1,2,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,3.0,14.0,0.4186255998110457,6,4,10,False,False,0.11570247933884298,0.0,0.11570247933884298,True
1,2,Joey McIntyre,Ashly DelGrosso,3rd Place,,21.0,0.8567830957524364,3,3,6,False,False,0.17355371900826447,0.19739279692178047,0.3709465159300449,False
1,2,John O'Hurley,Charlotte Jorgensen,2nd Place,,26.0,0.9621398343882076,1,1,2,False,False,0.21487603305785125,0.25119682829908213,0.4660728613569334,False
1,2,Kelly Monaco,Alec Mazo,1st Place,,17.0,0.4085363581966558,5,5,10,False,False,0.14049586776859505,0.16461897838690134,0.3051148461554964,False
1,2,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4.0,24.0,0.8633982939341924,2,2,4,False,False,0.19834710743801653,0.2062510588859157,0.4045981663239322,False
1,2,Trista Sutter,Louis van Amstel,Eliminated Week 2,2.0,19.0,0.07088338552367,4,6,10,True,True,0.15702479338842976,0.18054033750632031,0.33756513089475004,False
1,3,Evander Holyfield,Edyta Sliwinska,Eliminated Week 3,3.0,13.0,0.0314551331718223,5,5,10,True,True,0.12264150943396226,0.0,0.12264150943396226,True
1,3,Joey McIntyre,Ashly DelGrosso,3rd Place,,22.0,0.8496699853944807,3,2,5,False,False,0.20754716981132076,0.22617487189567786,0.43372204170699863,False
1,3,John O'Hurley,Charlotte Jorgensen,2nd Place,,24.0,0.9150056218345092,2,1,3,False,False,0.22641509433962265,0.30420646479006413,0.5306215591296868,False
1,3,Kelly Monaco,Alec Mazo,1st Place,,21.0,0.6989250521788635,4,4,8,False,False,0.19811320754716982,0.18070747278021254,0.37882068032738236,False
1,3,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4.0,26.0,0.8393220003113082,1,3,4,False,False,0.24528301886792453,0.2889111905340455,0.53419420940197,False
1,4,Joey McIntyre,Ashly DelGrosso,3rd Place,,20.0,0.7779454464593754,4,3,7,True,False,0.21739130434782608,0.0,0.21739130434782608,True
1,4,John O'Hurley,Charlotte Jorgensen,2nd Place,,21.0,0.8690671704908046,3,2,5,False,False,0.22826086956521738,0.30448336174600704,0.5327442313112244,False
1,4,Kelly Monaco,Alec Mazo,1st Place,,26.0,0.9105910617529636,1,1,2,False,False,0.2826086956521739,0.40216672505378404,0.684775420705958,False
1,4,Rachel Hunter,Jonathan Roberts,Eliminated Week 4,4.0,25.0,0.0875405905179603,2,4,6,False,True,0.2717391304347826,0.2933499132002088,0.5650890436349914,False
