season,week,celebrity_name,ballroom_partner,method,conflict_degree,conflict_type,judge_rank,fan_rank,judge_percent,fan_percent,final_rank,final_percent
1,2,Evander Holyfield,Edyta Sliwinska,rank,0.3333333333333333,A,6,4,0.1157024793388429,0.0,4.0,0.0
1,2,Joey McIntyre,Ashly DelGrosso,rank,0.0,B,3,3,0.1735537190082644,0.1973927969217804,3.0,0.6
1,2,John O'Hurley,Charlotte Jorgensen,rank,0.0,B,1,1,0.2148760330578512,0.2511968282990821,1.0,1.0
1,2,Kelly Monaco,Alec Mazo,rank,0.0,B,5,5,0.140495867768595,0.1646189783869013,4.0,0.19999999999999996
1,2,Rachel Hunter,Jonathan Roberts,rank,0.0,B,2,2,0.1983471074380165,0.2062510588859157,2.0,0.8
1,2,Trista Sutter,Louis van Amstel,rank,0.3333333333333333,B,4,6,0.1570247933884297,0.1805403375063203,4.0,0.4
1,3,Evander Holyfield,Edyta Sliwinska,rank,0.0,B,5,5,0.1226415094339622,0.0,5.0,0.0
1,3,Joey McIntyre,Ashly DelGrosso,rank,0.3333333333333333,A,3,2,0.2075471698113207,0.2261748718956778,3.0,0.5
1,3,John O'Hurley,Charlotte Jorgensen,rank,0.5,A,2,1,0.2264150943396226,0.3042064647900641,1.0,0.75
1,3,Kelly Monaco,Alec Mazo,rank,0.0,B,4,4,0.1981132075471698,0.1807074727802125,4.0,0.25
1,3,Rachel Hunter,Jonathan Roberts,rank,0.6666666666666666,B,1,3,0.2452830188679245,0.2889111905340455,2.0,1.0
1,4,Joey McIntyre,Ashly DelGrosso,rank,0.25,A,4,3,0.217391304347826,0.0,4.0,0.0
1,4,John O'Hurley,Charlotte Jorgensen,rank,0.3333333333333333,A,3,2,0.2282608695652173,0.304483361746007,2.0,0.33333333333333337
1,4,Kelly Monaco,Alec Mazo,rank,0.0,B,1,1,0.2826086956521739,0.402166725053784,1.0,1.0
1,4,Rachel Hunter,Jonathan Roberts,rank,0.5,B,2,4,0.2717391304347826,0.2933499132002088,3.0,0.6666666666666667
2,1,Drew Lachey,Cheryl Burke,rank,0.0,B,1,1,0.123076923076923,0.1596052415901271,1.0,1.0
2,1,George Hamilton,Edyta Sliwinska,rank,0.25,A,8,6,0.0923076923076923,0.0,7.0,0.0
2,1,Giselle Fernandez,Jonathan Roberts,rank,0.3333333333333333,B,2,3,0.1179487179487179,0.1386976239030831,3.0,0.8888888888888888
2,1,Jerry Rice,Anna Trebunskaya,rank,0.375,B,5,8,0.1076923076923077,0.1032561563082125,6.0,0.4444444444444444
2,1,Kenny Mayne,Andrea Hale,rank,0.1,B,9,10,0.0666666666666666,0.078420564450021,9.0,0.2222222222222222
2,1,Lisa Rinna,Louis van Amstel,rank,0.0,B,7,7,0.0974358974358974,0.0958149771414569,7.0,0.33333333333333337
2,1,Master P,Ashly DelGrosso,rank,0.1,A,10,9,0.0615384615384615,0.0452339358890331,9.0,0.11111111111111116
