season,method,fbi1,fbi2,fbi3,sample_count,composite_fbi
1,rank,0.4,0.9999999999999994,0.4666666666666667,15,0.7591221235785381
2,rank,0.5013888888888889,0.9564938717214044,0.32653061224489793,49,0.7373786638231064
3,rank,0.5833333333333334,6.516156886247113,0.5370370370370371,54,4.020405407472157
4,rank,0.5555555555555556,4.988689960713004,0.45,60,3.1123496291871886
5,rank,0.4765625,2.9679233554888325,0.5694444444444444,72,1.9380272683733557
6,rank,0.66,2.8277046092106657,0.5081967213114754,61,1.8940347014784358
7,rank,0.5277777777777778,2.586352690071572,0.3968253968253968,63,1.7018201874257017
8,rank,0.533068783068783,1.0581083156999165,0.5333333333333333,75,0.8379451964349784
9,rank,0.5881944444444445,2.508420588770738,0.449438202247191,89,1.6806523209874118
10,rank,0.40909090909090906,1.936055669005749,0.26666666666666666,60,1.2726320204627095
11,rank,0.640625,2.915234253717512,0.4027777777777778,72,1.9228311450257047
12,rank,0.4909090909090909,4.7503102671065145,0.5,60,2.9653510371056626
13,rank,0.4841269841269841,2.0308550239369234,0.4444444444444444,72,1.3757357909054881
14,rank,0.5621212121212121,2.4825772091963008,0.4925373134328358,67,1.6658842165922678
15,rank,0.4295634920634921,1.46081516971332,0.46153846153846156,65,1.033463954635924
16,rank,0.4609375,2.6321292499146347,0.4444444444444444,72,1.7188500806204872
17,rank,0.48565840938722293,1.6175018408564106,0.6111111111111112,72,1.1630587453899297
18,rank,0.5271739130434783,4.710719145958213,0.44,50,2.942027267582317
19,rank,0.5801435406698564,1.4845496338037019,0.5294117647058824,85,1.0970409369034242
20,rank,0.571078431372549,1.390845914355635,0.5373134328358209,67,1.0415755570490732
21,rank,0.5620629370629371,1.8214930257390543,0.7192982456140351,57,1.3186720986902516
22,rank,0.5515873015873016,2.250817039154575,0.6065573770491803,61,1.5470242229532751
23,rank,0.6605392156862745,1.2536815450220535,0.7866666666666666,75,1.0252830435987454
24,rank,0.4680696661828737,1.3113087845332216,0.4393939393939394,66,0.9530161753511158
25,rank,0.6532258064516129,6.791998308103622,0.5,66,4.192600519712217
26,rank,0.725,1.2900610447613552,0.7083333333333334,24,1.050378102482154
27,rank,0.5123376623376623,1.7923577996048243,0.5652173913043478,69,1.264047294112065
28,rank,0.6023809523809525,1.2677361193163847,0.7192982456140351,57,1.007563480886892
29,rank,0.6742857142857143,2.710896769966681,1.0104166666666667,96,1.9110123671350576
30,rank,0.5641025641025641,1.1755473538709342,0.7325581395348837,86,0.9463088543374095
31,rank,0.617948717948718,1.4649933709743157,0.7475728155339806,103,1.1306708980795797
32,rank,0.5952380952380952,1.425569805270674,0.7888888888888889,90,1.1085975060960207
33,rank,0.5178571428571429,1.4904544633405856,0.7037037037037037,54,1.1125543889780514
34,rank,0.6038647342995169,1.021071037843684,0.7922077922077922,77,0.8765096647093913
1,percent,0.0,6.928062573051826,0.0,15,4.022376845793625
2,percent,0.2245614035087719,-4.49747060056654,0.40816326530612246,49,-2.4873594026501564
3,percent,0.2270676691729323,-2.474707691242351,0.7407407407407407,54,-1.2586004014423064
4,percent,0.21770334928229668,-2.5629352286110274,0.6666666666666666,60,-1.3242030116424268
5,percent,0.21875,-3.083189942422414,0.7777777777777778,72,-1.6080437406617314
6,percent,0.22654462242562928,-2.719908724104084,0.639344262295082,61,-1.4174730597431384
7,percent,0.2331521739130435,-2.210699141336172,0.6031746031746031,63,-1.1259675842044827
8,percent,0.22999999999999998,-2.4879243863380482,0.5333333333333333,75,-1.2990149770632353
9,percent,0.2234375,-2.6780089288358337,0.5393258426966292,89,-1.410101187574741
10,percent,0.22619047619047616,-3.0480166477069575,0.45,60,-1.6386412295170314
11,percent,0.39615384615384613,-2.7443637700229147,0.6805555555555556,72,-1.3812728783357249
12,percent,0.2227214377406932,-2.506454874540541,0.5666666666666667,60,-1.3062672931188892
13,percent,0.2025531914893617,-2.1375074581077738,0.6666666666666666,72,-1.0811103777704272
14,percent,0.2845849802371542,-2.595192871519143,0.5671641791044776,67,-1.3417526998099343
15,percent,0.4207317073170732,-2.4872970403692554,1.1538461538461537,65,-1.1492445315659918
16,percent,0.14,-2.940018981380685,0.3333333333333333,72,-1.6170097040020228
17,percent,0.23578595317725753,-2.308702923348164,0.7916666666666666,72,-1.1517461187408449
18,percent,0.30952380952380953,-2.4532086663727712,0.62,50,-1.2443527733814164
19,percent,0.24087353324641458,-2.1373962743136423,0.5764705882352941,85,-1.0857300033482766
20,percent,0.2584427767354597,-2.67157064305816,0.8208955223880597,67,-1.351860297112875
21,percent,0.19256756756756757,-2.4734001738987463,0.7894736842105263,57,-1.258868339910331
22,percent,0.3380952380952381,-3.6961624676529126,0.9180327868852459,61,-1.9104992145988637
23,percent,0.3160377358490566,-2.374105790517001,0.68,75,-1.1870560259324754
