season,week,celebrity_name,ballroom_partner,partner_total_seasons_rank,partner_avg_placement_rank,partner_final_rate_rank,celebrity_industry_rank,celebrity_homestate_rank,celebrity_homecountry/region_rank,celebrity_age_during_season_rank,age_group_rank,results_rank,placement_rank,week_total_judge_rank,season_total_weeks_rank,weekly_contestant_count_rank,weekly_sum_judge_rank,weekly_mean_judge_rank,weekly_std_judge_rank,judge_pct_rank,judge_share_rank,judge_zscore_rank,rank_pct_rank,popularity_deviation_rank,judge_rank_interaction_rank,judge_popularity_interaction_rank,rank_popularity_interaction_rank,cumulative_weeks_rank,relative_cumulative_weeks_rank,week_total_judge_change_rank,week_total_judge_trend_rank,survival_advantage_rank,weekly_judge_rank_rank,weekly_judge_rank_pct_rank,weekly_judge_share_rank_rank,weekly_judge_share_rank_pct_rank,composite_attractiveness_rank,elimination_week_rank,is_eliminated_this_week_rank,judge_rank,fan_rank,rank_sum,predicted_eliminated_rank,partner_total_seasons_percent,partner_avg_placement_percent,partner_final_rate_percent,celebrity_industry_percent,celebrity_homestate_percent,celebrity_homecountry/region_percent,celebrity_age_during_season_percent,age_group_percent,results_percent,placement_percent,week_total_judge_percent,season_total_weeks_percent,weekly_contestant_count_percent,weekly_sum_judge_percent,weekly_mean_judge_percent,weekly_std_judge_percent,judge_pct_percent,judge_share_percent,judge_zscore_percent,rank_pct_percent,popularity_deviation_percent,judge_rank_interaction_percent,judge_popularity_interaction_percent,rank_popularity_interaction_percent,cumulative_weeks_percent,relative_cumulative_weeks_percent,week_total_judge_change_percent,week_total_judge_trend_percent,survival_advantage_percent,weekly_judge_rank_percent,weekly_judge_rank_pct_percent,weekly_judge_share_rank_percent,weekly_judge_share_rank_pct_percent,composite_attractiveness_percent,elimination_week_percent,is_eliminated_this_week_percent,judge_percent,fan_votes_relative,combined_percent,predicted_eliminated_percent
1,2,Evander Holyfield,Edyta Sliwinska,11,7.545454545454546,0.1818181818181818,Athlete,Alabama,United States,42,35-44,Eliminated Week 3,5,14.0,6,6,121.0,20.166666666666668,4.445971959725642,0.5384615384615384,0.1157024793388429,-1.3870232926631432,0.1666666666666666,-0.3717948717948718,0.0897435897435897,-0.2001972386587771,-0.0619658119658119,2,0.3333333333333333,-4.0,16.0,0.0,6,1.0,6,1.0,0.4186255998110457,3.0,False,6,4,10,False,11,7.545454545454546,0.1818181818181818,Athlete,Alabama,United States,42,35-44,Eliminated Week 3,5,14.0,6,6,121.0,20.166666666666668,4.445971959725642,0.5384615384615384,0.1157024793388429,-1.3870232926631432,0.1666666666666666,-0.3717948717948718,0.0897435897435897,-0.2001972386587771,-0.0619658119658119,2,0.3333333333333333,-4.0,16.0,0.0,6,1.0,6,1.0,0.1102495479899811,3.0,False,0.11570247933884298,0.0,0.11570247933884298,True
1,2,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,21.0,6,6,121.0,20.166666666666668,4.445971959725642,0.8076923076923077,0.1735537190082644,0.1874355800896136,0.6666666666666667,-0.1410256410256409,0.5384615384615385,-0.1139053254437869,-0.0940170940170939,2,0.3333333333333333,1.0,20.5,0.0,3,0.5,3,0.5,0.8567830957524364,,False,3,3,6,False,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,21.0,6,6,121.0,20.166666666666668,4.445971959725642,0.8076923076923077,0.1735537190082644,0.1874355800896136,0.6666666666666667,-0.1410256410256409,0.5384615384615385,-0.1139053254437869,-0.0940170940170939,2,0.3333333333333333,1.0,20.5,0.0,3,0.5,3,0.5,0.7102563107696657,,False,0.17355371900826447,0.7858092725866704,0.3709465159300449,False
1,2,John O'Hurley,Charlotte Jorgensen,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,26.0,6,6,121.0,20.166666666666668,4.445971959725642,1.0,0.2148760330578512,1.3120490606272972,1.0,0.0,1.0,0.0,0.0,2,0.3333333333333333,6.0,23.0,0.0,1,0.1666666666666666,1,0.1666666666666666,0.9621398343882076,,False,1,1,2,False,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,26.0,6,6,121.0,20.166666666666668,4.445971959725642,1.0,0.2148760330578512,1.3120490606272972,1.0,0.0,1.0,0.0,0.0,2,0.3333333333333333,6.0,23.0,0.0,1,0.1666666666666666,1,0.1666666666666666,0.8738022110994726,,False,0.21487603305785125,1.0,0.4660728613569334,False
1,2,Kelly Monaco,Alec Mazo,5,8.4,0.2,Actor/Actress,Pennsylvania,United States,29,25-34,1st Place,1,17.0,6,6,121.0,20.166666666666668,4.445971959725642,0.6538461538461539,0.140495867768595,-0.7122552043405331,0.3333333333333333,-0.3205128205128205,0.2179487179487179,-0.2095660749506903,-0.1068376068376068,2,0.3333333333333333,4.0,15.0,0.0,5,0.8333333333333334,5,0.8333333333333334,0.4085363581966558,,False,5,5,10,False,5,8.4,0.2,Actor/Actress,Pennsylvania,United States,29,25-34,1st Place,1,17.0,6,6,121.0,20.166666666666668,4.445971959725642,0.6538461538461539,0.140495867768595,-0.7122552043405331,0.3333333333333333,-0.3205128205128205,0.2179487179487179,-0.2095660749506903,-0.1068376068376068,2,0.3333333333333333,4.0,15.0,0.0,5,0.8333333333333334,5,0.8333333333333334,0.6106350830972396,,False,0.14049586776859505,0.6553386024082329,0.3051148461554964,False
1,2,Rachel Hunter,Jonathan Roberts,7,8.714285714285714,0.1428571428571428,Model,Unknown,New Zealand,35,35-44,Eliminated Week 4,4,24.0,6,6,121.0,20.166666666666668,4.445971959725642,0.9230769230769232,0.1983471074380165,0.8622036684122237,0.8333333333333334,-0.0897435897435897,0.7692307692307693,-0.0828402366863905,-0.0747863247863248,2,0.3333333333333333,4.0,22.0,0.0,2,0.3333333333333333,2,0.3333333333333333,0.8633982939341924,4.0,False,2,2,4,False,7,8.714285714285714,0.1428571428571428,Model,Unknown,New Zealand,35,35-44,Eliminated Week 4,4,24.0,6,6,121.0,20.166666666666668,4.445971959725642,0.9230769230769232,0.1983471074380165,0.8622036684122237,0.8333333333333334,-0.0897435897435897,0.7692307692307693,-0.0828402366863905,-0.0747863247863248,2,0.3333333333333333,4.0,22.0,0.0,2,0.3333333333333333,2,0.3333333333333333,0.7371824051755387,4.0,False,0.19834710743801653,0.8210734995441394,0.4045981663239322,False
1,2,Trista Sutter,Louis van Amstel,11,7.0,0.0909090909090909,TV Personality,Indiana,United States,32,25-34,Eliminated Week 2,6,19.0,6,6,121.0,20.166666666666668,4.445971959725642,0.7307692307692307,0.1570247933884297,-0.2624098121254598,0.5,-0.2307692307692307,0.3653846153846153,-0.1686390532544378,-0.1153846153846153,2,0.3333333333333333,1.0,18.5,0.0,4,0.6666666666666666,4,0.6666666666666666,0.07088338552367,2.0,True,4,6,10,True,11,7.0,0.0909090909090909,TV Personality,Indiana,United States,32,25-34,Eliminated Week 2,6,19.0,6,6,121.0,20.166666666666668,4.445971959725642,0.7307692307692307,0.1570247933884297,-0.2624098121254598,0.5,-0.2307692307692307,0.3653846153846153,-0.1686390532544378,-0.1153846153846153,2,0.3333333333333333,1.0,18.5,0.0,4,0.6666666666666666,4,0.6666666666666666,0.6590305833042753,2.0,True,0.15702479338842976,0.7187206093675825,0.33756513089475004,False
1,3,Evander Holyfield,Edyta Sliwinska,11,7.545454545454546,0.1818181818181818,Athlete,Alabama,United States,42,35-44,Eliminated Week 3,5,13.0,6,5,106.0,21.2,4.969909455915671,0.5,0.1226415094339622,-1.649929455000344,0.1999999999999999,-0.3,0.0999999999999999,-0.15,-0.06,3,0.5,-1.0,13.5,0.0,5,1.0,5,1.0,0.0314551331718223,3.0,True,5,5,10,True,11,7.545454545454546,0.1818181818181818,Athlete,Alabama,United States,42,35-44,Eliminated Week 3,5,13.0,6,5,106.0,21.2,4.969909455915671,0.5,0.1226415094339622,-1.649929455000344,0.1999999999999999,-0.3,0.0999999999999999,-0.15,-0.06,3,0.5,-1.0,13.5,0.0,5,1.0,5,1.0,0.3131714811075669,3.0,True,0.12264150943396226,0.0,0.12264150943396226,True
1,3,Joey McIntyre,Ashly DelGrosso,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,22.0,6,5,106.0,21.2,4.969909455915671,0.8461538461538461,0.2075471698113207,0.1609687273171069,0.6,-0.2461538461538461,0.5076923076923077,-0.208284023668639,-0.1476923076923077,3,0.5,1.0,21.5,0.0,3,0.6,3,0.6,0.8496699853944807,,False,3,2,5,False,4,7.25,0.25,Singer/Rapper,Massachusetts,United States,32,25-34,3rd Place,3,22.0,6,5,106.0,21.2,4.969909455915671,0.8461538461538461,0.2075471698113207,0.1609687273171069,0.6,-0.2461538461538461,0.5076923076923077,-0.208284023668639,-0.1476923076923077,3,0.5,1.0,21.5,0.0,3,0.6,3,0.6,0.6644821110896711,,False,0.20754716981132076,0.743491339185587,0.43372204170699863,False
1,3,John O'Hurley,Charlotte Jorgensen,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,24.0,6,5,106.0,21.2,4.969909455915671,0.9230769230769232,0.2264150943396226,0.5633905456098738,0.8,-0.123076923076923,0.7384615384615385,-0.1136094674556213,-0.0984615384615384,3,0.5,-2.0,25.0,0.0,2,0.4,2,0.4,0.9150056218345092,,False,2,1,3,False,1,2.0,1.0,Actor/Actress,Maine,United States,50,45-54,2nd Place,2,24.0,6,5,106.0,21.2,4.969909455915671,0.9230769230769232,0.2264150943396226,0.5633905456098738,0.8,-0.123076923076923,0.7384615384615385,-0.1136094674556213,-0.0984615384615384,3,0.5,-2.0,25.0,0.0,2,0.4,2,0.4,0.7856862388005434,,False,0.22641509433962265,1.0,0.5306215591296868,False
1,3,Kelly Monaco,Alec Mazo,5,8.4,0.2,Actor/Actress,Pennsylvania,United States,29,25-34,1st Place,1,21.0,6,5,106.0,21.2,4.969909455915671,0.8076923076923077,0.1981132075471698,-0.0402421818292765,0.4,-0.4076923076923077,0.3230769230769231,-0.3292899408284023,-0.1630769230769231,3,0.5,4.0,19.0,0.0,4,0.8,4,0.8,0.6989250521788635,,False,4,4,8,False,5,8.4,0.2,Actor/Actress,Pennsylvania,United States,29,25-34,1st Place,1,21.0,6,5,106.0,21.2,4.969909455915671,0.8076923076923077,0.1981132075471698,-0.0402421818292765,0.4,-0.4076923076923077,0.3230769230769231,-0.3292899408284023,-0.1630769230769231,3,0.5,4.0,19.0,0.0,4,0.8,4,0.8,0.5938589667367058,,False,0.19811320754716982,0.5940290351979224,0.37882068032738236,False
