celebrity_industry_rank_Actor/Actress,celebrity_industry_rank_Athlete,celebrity_industry_rank_Singer/Rapper,celebrity_industry_rank_TV Personality,celebrity_industry_rank_others,country_state_United States - Alabama,country_state_United States - Alaska,country_state_United States - Arizona,country_state_United States - Arkansas,country_state_United States - California,country_state_United States - Colorado,country_state_United States - Connecticut,country_state_United States - Delaware,country_state_United States - Florida,country_state_United States - Georgia,country_state_United States - Hawaii,country_state_United States - Illinois,country_state_United States - Indiana,country_state_United States - Iowa,country_state_United States - Kansas,country_state_United States - Kentucky,country_state_United States - Louisiana,country_state_United States - Maine,country_state_United States - Maryland,country_state_United States - Massachusetts,country_state_United States - Michigan,country_state_United States - Minnesota,country_state_United States - Mississippi,country_state_United States - Missouri,country_state_United States - Nebraska,country_state_United States - Nevada,country_state_United States - New Hamshire,country_state_United States - New Jersey,country_state_United States - New Mexico,country_state_United States - New York,country_state_United States - North Carolina,country_state_United States - Ohio,country_state_United States - Oregon,country_state_United States - Pennsylvania,country_state_United States - Rhode Island,country_state_United States - South Carolina,country_state_United States - South Dakota,country_state_United States - Tennessee,country_state_United States - Texas,country_state_United States - Utah,country_state_United States - Virginia,country_state_United States - Washington,country_state_United States - Washington D.C.,country_state_United States - West Virginia,country_state_United States - Wisconsin,country_state_others,age_group_rank_ordinal,placement_ordered_rank,partner_total_seasons,partner_avg_placement,partner_final_rate,week_total_judge,fan_percent
False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,13.0,11,7.545454545454546,0.1818181818181818,14.0,0.0
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,7.0,4,7.25,0.25,21.0,0.1973927969217804
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,4.0,1,2.0,1.0,26.0,0.2511968282990821
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,1.0,5,8.4,0.2,17.0,0.1646189783869013
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,10.0,7,8.714285714285714,0.1428571428571428,24.0,0.2062510588859157
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,15.0,11,7.0,0.0909090909090909,19.0,0.1805403375063203
False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,13.0,11,7.545454545454546,0.1818181818181818,13.0,0.0
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,7.0,4,7.25,0.25,22.0,0.2261748718956778
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,4.0,1,2.0,1.0,24.0,0.3042064647900641
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,1.0,5,8.4,0.2,21.0,0.1807074727802125
