season,week,method,fbi1,fbi2,fbi3,sample_count,composite_fbi
1,2,rank,0.5,,0.5,6,
1,3,rank,0.41666666666666663,,0.4,5,
1,4,rank,0.5,,0.5,4,
2,1,rank,0.6428571428571428,0.833675678177113,0.5,10,0.6588442736780852
2,2,rank,0.41666666666666663,,0.3333333333333333,9,
2,3,rank,0.41666666666666663,,0.375,8,
2,4,rank,,,0.14285714285714285,7,
2,5,rank,,,0.0,6,
2,6,rank,,,0.4,5,
2,7,rank,0.6666666666666666,,0.5,4,
3,1,rank,0.5555555555555556,1.5191978229698926,0.2727272727272727,11,0.7824935504175735
3,2,rank,0.6666666666666666,4.84914482929168,0.5,10,2.005270498652782
3,3,rank,0.75,,0.8888888888888888,9,
3,4,rank,,,0.375,8,
3,5,rank,0.8333333333333333,,1.1428571428571428,7,
3,7,rank,,,0.2,5,
3,8,rank,0.16666666666666666,,0.25,4,
4,2,rank,0.7,13.619998674397058,0.7272727272727273,11,5.015757133889928
4,3,rank,0.2777777777777778,2.686812872586783,0.9,10,1.2881968834548536
4,4,rank,0.6428571428571428,,0.4444444444444444,9,
4,5,rank,0.5,,0.125,8,
4,6,rank,0.5833333333333334,,0.2857142857142857,7,
4,7,rank,,,0.3333333333333333,6,
4,8,rank,,,0.0,5,
4,9,rank,,,0.25,4,
5,1,rank,0.6111111111111112,8.02177662040154,1.0833333333333333,12,3.2387403549486615
5,2,rank,0.7,73.55161290322695,1.0,11,25.083870967742318
5,3,rank,0.4375,0.5339679104930908,0.5,10,0.4904893034976969
5,4,rank,,,0.6666666666666666,9,
5,5,rank,0.14285714285714285,,0.25,8,
5,6,rank,0.5833333333333334,,0.2857142857142857,7,
5,7,rank,,,0.16666666666666666,6,
5,8,rank,,,0.0,5,
5,9,rank,,,0.25,4,
6,2,rank,0.6666666666666666,1.8498131476156865,0.5,12,1.005493271427451
6,3,rank,0.8125,3.683460652889217,1.0,10,1.8319868842964055
6,4,rank,0.7857142857142857,,0.7777777777777778,9,
6,5,rank,0.6428571428571428,,0.375,8,
6,6,rank,,,0.14285714285714285,7,
6,7,rank,0.6,,0.3333333333333333,6,
6,8,rank,0.5,,0.2,5,
6,9,rank,0.5,,0.25,4,
7,1,rank,0.5416666666666666,1.7600783403439177,0.5384615384615384,13,0.9467355151573742
7,2,rank,0.65,9.89125688240464,0.45454545454545453,11,3.6652674456500316
7,4,rank,0.6875,,0.5555555555555556,9,
7,5,rank,0.41666666666666663,,0.375,8,
7,6,rank,,,0.14285714285714285,7,
7,7,rank,0.6,,0.3333333333333333,6,
7,8,rank,,,0.2,5,
7,9,rank,,,0.25,4,
8,2,rank,0.6333333333333333,1.310398315556729,0.8461538461538461,13,0.9299618316813028
8,3,rank,0.65,3.5844734474982283,0.5,12,1.578157815832743
8,4,rank,0.3611111111111111,1.8902762193208489,0.36363636363636365,11,0.8716745646894412
8,5,rank,0.6,,0.5555555555555556,9,
8,6,rank,0.75,,0.75,8,
8,7,rank,0.5833333333333333,,0.7142857142857143,7,
8,8,rank,0.375,,0.3333333333333333,6,
8,9,rank,0.125,,0.2,5,
8,10,rank,,,0.0,4,
9,1,rank,0.6428571428571428,0.9748354363419047,0.5,16,0.7058975263996824
9,2,rank,0.5833333333333333,3.9900885379740747,0.9285714285714286,14,1.8339977666262788
9,3,rank,0.6363636363636364,3.152700808983971,0.38461538461538464,13,1.391226609987664
9,4,rank,0.65,2.261108350034704,0.5454545454545454,11,1.1521876318297497
9,5,rank,0.6666666666666666,4.847483479280807,0.5,10,2.004716715315824
9,6,rank,,,0.0,9,
9,7,rank,0.5833333333333334,,0.2857142857142857,7,
9,8,rank,,,0.2,5,
9,9,rank,,,0.0,4,
10,2,rank,0.6,1.3043086361389884,0.2727272727272727,11,0.7256786362887537
10,3,rank,,-1077967091431464.4,0.5,10,
10,4,rank,0.41666666666666663,,0.3333333333333333,9,
10,5,rank,,,0.125,8,
10,6,rank,,,0.0,7,
10,7,rank,0.2,,0.3333333333333333,6,
10,8,rank,,,0.2,5,
10,9,rank,,,0.25,4,
11,1,rank,,-3886665621418926.0,0.5,12,
11,2,rank,0.7222222222222222,3.168705820033832,0.6363636363636364,11,1.5090972262065634
11,3,rank,0.75,6.948199199793732,0.7,10,2.7993997332645773
11,4,rank,0.5,,0.1111111111111111,9,
11,5,rank,0.6428571428571428,,0.375,8,
11,6,rank,0.6,,0.42857142857142855,7,
11,7,rank,,,0.16666666666666666,6,
11,8,rank,,,0.2,5,
11,9,rank,,,0.0,4,
12,2,rank,0.25,2.5084958537197504,0.6363636363636364,11,1.1316198300277955
12,3,rank,,1616950637147195.0,0.6,10,
12,4,rank,0.6875,,0.5555555555555556,9,
12,5,rank,,,0.75,8,
12,6,rank,,,0.14285714285714285,7,
12,7,rank,0.625,,0.6666666666666666,6,
12,8,rank,0.5,,0.2,5,
12,9,rank,,,0.0,4,
13,1,rank,0.5,0.8950454767592506,0.4166666666666667,12,0.603904047808639
13,2,rank,0.75,69.28122645020713,0.8181818181818182,11,23.616469422796314
13,3,rank,,,0.7,10,
13,4,rank,0.41666666666666663,,0.5555555555555556,9,
13,5,rank,0.6428571428571428,,0.375,8,
13,6,rank,,,0.14285714285714285,7,
13,7,rank,0.5,,0.16666666666666666,6,
13,8,rank,,,0.2,5,
13,9,rank,,,0.0,4,
14,2,rank,0.4,1.0550976715325444,0.3333333333333333,12,0.5961436682886259
14,3,rank,,-5696652996790540.0,1.0,11,
14,4,rank,0.7083333333333333,1.178829124027603,0.8,10,0.8957208191203121
14,5,rank,0.625,,0.3333333333333333,9,
14,6,rank,0.5,,0.25,8,
14,7,rank,0.6,,0.42857142857142855,7,
14,8,rank,,,0.16666666666666666,6,
14,9,rank,0.5,,0.25,4,
15,1,rank,0.5833333333333333,1.771807199021213,0.6153846153846154,13,0.9901750492463872
15,2,rank,0.09090909090909091,1.5426067264595011,0.25,12,0.6278386057895307
15,3,rank,0.75,5.901883203869131,0.8181818181818182,11,2.490021674016983
15,4,rank,,,0.1111111111111111,9,
15,6,rank,0.5,,0.625,8,
15,8,rank,0.08333333333333333,,0.14285714285714285,7,
15,9,rank,0.5,,0.6,5,
16,2,rank,,1295555207139639.2,0.5833333333333334,12,
16,3,rank,0.2,1.6475174687931686,0.45454545454545453,11,0.767354307779541
16,4,rank,0.6190476190476191,1.610280820682852,0.6,10,0.9431094799101569
16,5,rank,0.625,,0.5555555555555556,9,
16,6,rank,0.5714285714285714,,0.25,8,
16,7,rank,,,0.0,7,
16,8,rank,0.375,,0.8333333333333334,6,
16,9,rank,,,0.2,5,
16,10,rank,,,0.25,4,
17,2,rank,0.4444444444444444,1.2003466802916731,0.5,12,0.7149303749120391
17,3,rank,0.75,2.6683693366918972,1.0,11,1.472789778897299
17,4,rank,0.3333333333333333,2.4563654815256384,1.0,10,1.2632329382863239
17,5,rank,0.5,,0.8888888888888888,9,
17,7,rank,0.5,,0.5,8,
17,8,rank,0.45,,0.42857142857142855,7,
17,9,rank,0.6,,0.3333333333333333,6,
17,10,rank,,,0.0,5,
17,11,rank,,,0.0,4,
18,2,rank,,1186802707664695.8,0.9090909090909091,11,
18,5,rank,,,0.2222222222222222,9,
18,6,rank,,,0.25,8,
